Timestamp,Total Unit,Beban SMP
2026-06-13 22:02:33,6,5.0
2026-06-13 22:02:38,4,3.0
2026-06-13 22:02:43,8,7.5
2026-06-13 22:02:48,8,7.5
2026-06-13 22:02:53,8,9.5
2026-06-13 22:02:58,8,8.0
2026-06-13 22:03:03,7,7.0
2026-06-13 22:06:12,2,2.0
2026-06-13 22:06:17,3,3.0
2026-06-13 22:06:22,2,2.0
2026-06-13 22:06:27,1,1.0
2026-06-13 22:06:32,0,0.0
2026-06-13 22:06:37,1,0.5
2026-06-13 22:06:42,1,1.0
2026-06-13 22:06:47,2,1.0
2026-06-13 22:06:52,0,0.0
2026-06-13 22:06:57,1,1.0
2026-06-13 22:07:02,1,1.0
2026-06-13 22:08:19,7,7.0
2026-06-13 22:08:24,8,8.0
2026-06-13 22:08:29,8,8.0
2026-06-13 22:08:35,4,4.0
2026-06-13 22:08:40,7,7.0
2026-06-13 22:08:45,3,3.0
2026-06-13 22:08:50,4,4.0
2026-06-13 22:08:55,5,5.0
2026-06-13 22:09:00,5,5.0
2026-06-13 22:09:05,5,5.0
2026-06-13 22:09:10,6,6.0
2026-06-13 22:09:15,10,10.0
2026-06-13 22:09:20,6,6.0
2026-06-13 22:09:25,5,5.0
2026-06-13 22:09:30,4,4.0
2026-06-13 22:09:35,3,3.0
2026-06-13 22:09:40,8,7.5
2026-06-13 22:09:45,5,5.0
2026-06-13 22:09:50,3,3.0
2026-06-13 22:09:55,5,5.0
2026-06-13 22:10:01,7,7.0
2026-06-13 22:10:06,3,2.5
2026-06-13 22:10:11,6,5.5
2026-06-13 22:10:16,6,5.5
2026-06-13 22:10:21,6,5.5
2026-06-13 22:10:26,7,7.0
2026-06-13 22:10:31,0,0.0
2026-06-13 22:10:36,2,2.0
2026-06-13 22:10:41,4,4.0
2026-06-13 22:10:46,5,5.0
2026-06-13 22:10:51,7,5.0
2026-06-13 22:12:09,6,6.0
2026-06-13 22:12:14,9,9.0
2026-06-13 22:12:20,6,6.0
2026-06-13 22:12:25,8,8.0
2026-06-13 22:12:30,8,8.0
2026-06-13 22:12:35,7,7.0
2026-06-13 22:12:40,7,7.0
2026-06-13 22:12:45,7,7.0
2026-06-13 22:12:50,7,7.0
2026-06-13 22:12:55,7,7.0
2026-06-13 22:13:00,6,5.5
2026-06-13 22:13:05,6,6.0
2026-06-13 22:13:10,8,8.0
2026-06-13 22:13:15,7,7.0
2026-06-13 22:13:20,6,6.0
2026-06-13 22:13:26,7,7.0
2026-06-13 22:13:31,9,9.0
2026-06-13 22:13:36,9,9.0
2026-06-13 22:13:41,11,11.0
2026-06-13 22:13:46,10,10.0
2026-06-13 22:13:51,7,7.0
2026-06-13 22:13:56,7,6.5
2026-06-13 22:14:01,7,6.5
2026-06-13 22:14:06,5,5.0
2026-06-13 22:14:11,10,9.5
2026-06-13 22:14:16,5,5.0
2026-06-13 22:14:21,8,8.0
2026-06-13 22:14:27,12,11.5
2026-06-13 22:14:32,9,9.0
2026-06-13 22:14:37,8,8.0
2026-06-13 22:14:42,6,6.0
2026-06-13 22:14:47,6,5.5
2026-06-13 22:14:52,7,7.0
2026-06-13 22:15:02,5,5.0
2026-06-13 22:15:08,5,4.5
2026-06-13 22:16:06,23,20.5
2026-06-13 22:16:11,20,18.0
2026-06-13 22:16:16,20,17.0
2026-06-13 22:16:21,15,13.0
2026-06-13 22:16:26,15,14.5
2026-06-13 22:16:31,13,10.5
2026-06-13 22:16:36,17,16.5
2026-06-13 22:16:41,22,18.0
2026-06-13 22:16:46,24,18.0
2026-06-13 22:17:02,21,19.5
2026-06-13 22:17:08,22,19.5
2026-06-13 22:17:13,17,15.5
2026-06-13 22:17:18,15,13.5
2026-06-13 22:17:23,19,18.5
2026-06-13 22:17:28,22,20.5
2026-06-13 22:20:58,23,18.5
2026-06-13 22:21:03,16,13.5
2026-06-13 22:21:08,20,16.5
2026-06-13 22:21:13,21,17.0
2026-06-13 22:21:18,24,19.5
2026-06-13 22:21:24,24,19.5
2026-06-13 22:21:29,15,13.5
2026-06-13 22:21:34,30,22.0
2026-06-13 22:21:39,23,19.5
2026-06-13 22:21:44,19,14.0
2026-06-13 22:28:22,16,11.0
2026-06-13 22:28:27,16,11.5
2026-06-13 22:28:32,17,13.5
2026-06-13 22:28:37,19,13.0
2026-06-13 22:28:42,17,13.0
2026-06-13 22:28:47,13,10.5
2026-06-13 22:28:52,16,9.5
2026-06-13 22:28:57,16,11.0
2026-06-13 23:31:23,10,7.0
2026-06-13 23:31:28,11,10.0
2026-06-13 23:31:33,4,2.0
2026-06-13 23:31:38,4,3.0
2026-06-13 23:36:20,18,14.5
2026-06-13 23:36:25,12,8.5
2026-06-13 23:36:46,9,8.5
2026-06-13 23:36:51,10,8.5
2026-06-13 23:36:56,8,7.5
2026-06-13 23:37:01,9,7.0
2026-06-13 23:37:06,7,5.5
2026-06-13 23:37:11,5,4.5
2026-06-13 23:37:16,3,3.0
2026-06-13 23:37:22,3,3.0
2026-06-13 23:37:27,4,4.0
2026-06-13 23:37:32,6,4.5
2026-06-13 23:37:37,7,4.5
2026-06-13 23:37:42,4,3.0
2026-06-13 23:37:48,4,3.0
2026-06-13 23:37:53,10,9.0
2026-06-13 23:40:44,6,5.0
2026-06-13 23:40:50,6,4.5
2026-06-13 23:40:55,6,5.0
2026-06-13 23:43:15,7,7.5
2026-06-13 23:43:20,7,5.0
2026-06-13 23:43:25,12,9.0
2026-06-13 23:43:30,13,9.0
2026-06-13 23:43:35,14,9.0
2026-06-13 23:43:40,15,9.5
2026-06-13 23:43:46,18,12.5
2026-06-13 23:43:51,11,7.5
2026-06-13 23:43:56,11,7.5
