Timestamp,Total Unit,Beban SMP
2026-06-24 09:30:57,6,7.5
2026-06-24 09:31:02,10,12.5
2026-06-24 13:42:03,5,4.5
2026-06-24 13:59:30,15,17.5
2026-06-24 13:59:35,12,15.0
2026-06-24 13:59:41,12,12.5
2026-06-24 13:59:46,12,13.5
2026-06-24 13:59:51,10,8.5
2026-06-24 13:59:56,11,9.5
2026-06-24 14:00:01,6,6.5
2026-06-24 14:00:06,16,17.5
2026-06-24 14:00:11,9,10.5
2026-06-24 14:00:16,9,10.5
2026-06-24 14:00:21,6,5.5
2026-06-24 14:00:26,7,8.0
2026-06-24 14:00:31,7,11.5
2026-06-24 14:00:36,10,11.0
2026-06-24 17:23:36,10,13.5
