Timestamp,Total Unit,Beban SMP
2026-06-23 15:03:26,24,28.0
2026-06-23 15:03:31,23,27.5
2026-06-23 15:03:36,24,31.5
2026-06-23 15:03:41,24,25.5
2026-06-23 15:03:46,30,37.5
2026-06-23 15:14:57,50,60.5
2026-06-23 15:15:02,25,34.0
2026-06-23 15:15:07,46,53.5
2026-06-23 15:15:12,47,54.5
2026-06-23 15:15:17,54,63.0
2026-06-23 15:15:22,59,71.0
2026-06-23 15:15:27,57,62.5
2026-06-23 15:15:32,54,60.0
2026-06-23 15:15:38,56,63.5
2026-06-23 15:15:43,67,76.0
2026-06-23 15:15:48,54,60.0
2026-06-23 15:15:53,49,55.0
2026-06-23 15:15:58,57,63.0
2026-06-23 15:16:03,56,63.5
2026-06-23 15:16:08,52,61.0
2026-06-23 15:16:13,48,49.5
2026-06-23 15:16:19,56,59.0
2026-06-23 15:16:24,54,58.5
2026-06-23 15:16:29,63,65.5
2026-06-23 15:16:34,56,59.0
2026-06-23 15:16:39,54,58.5
2026-06-23 15:16:44,47,56.0
2026-06-23 15:16:49,48,54.0
2026-06-23 15:16:54,47,54.5
2026-06-23 15:17:00,53,60.5
2026-06-23 15:17:05,51,57.0
2026-06-23 15:17:10,55,62.5
2026-06-23 15:17:15,57,63.0
2026-06-23 15:17:20,58,62.0
2026-06-23 15:17:25,53,59.0
2026-06-23 15:17:30,60,66.0
2026-06-23 15:17:35,58,67.0
2026-06-23 15:17:40,55,59.5
2026-06-23 15:17:45,62,66.5
2026-06-23 15:17:51,52,59.5
2026-06-23 15:17:56,57,66.0
2026-06-23 15:18:01,52,59.5
2026-06-23 15:18:06,51,58.5
2026-06-23 15:18:11,52,58.0
2026-06-23 15:18:16,52,58.0
2026-06-23 15:18:22,49,53.5
2026-06-23 15:18:27,57,60.0
2026-06-23 15:18:32,58,62.5
2026-06-23 15:18:37,52,56.5
2026-06-23 15:18:42,55,59.5
2026-06-23 15:18:47,55,57.5
2026-06-23 15:19:25,24,29.5
2026-06-23 15:19:30,25,29.5
2026-06-23 15:19:35,24,26.5
2026-06-23 15:19:40,25,33.0
2026-06-23 15:19:45,48,54.0
2026-06-23 15:19:51,47,54.5
2026-06-23 15:19:56,54,61.5
2026-06-23 15:20:01,53,59.0
2026-06-23 15:20:06,58,62.0
2026-06-23 15:20:11,57,62.0
2026-06-23 15:20:16,49,55.0
2026-06-23 15:20:21,56,65.0
2026-06-23 15:20:27,47,50.0
2026-06-23 15:20:32,64,71.5
2026-06-23 15:43:36,50,60.5
2026-06-23 15:43:41,45,52.5
2026-06-23 15:43:46,45,57.0
2026-06-23 15:43:51,55,61.0
2026-06-23 15:43:56,55,61.0
